# ra dec
3.39735 -0.32024
3.43212 -0.38545
3.42507 -0.36754
3.36251 -0.26912
3.39015 -0.29709
3.37988 -0.28770
3.43297 -0.35611
3.43558 -0.38021
3.40873 -0.35075
3.39601 -0.33139
3.40344 -0.33624
3.42194 -0.37645
3.42633 -0.37036
3.41209 -0.34727
3.42166 -0.35391
3.40108 -0.32576
3.42796 -0.37683
3.42697 -0.34648
3.41813 -0.35267
3.41579 -0.34887
3.38026 -0.29882
3.39956 -0.31793
3.43431 -0.39091
3.40545 -0.32533
3.40877 -0.33213
3.41308 -0.34486
3.42608 -0.36238
3.43056 -0.37353
3.44839 -0.41452
3.40449 -0.32260
3.46316 -0.42692
3.38891 -0.31069
3.41797 -0.36117
3.44689 -0.41428
3.42509 -0.39292
3.39470 -0.31326
3.39488 -0.32837
3.41680 -0.33741
3.39941 -0.33897
3.38370 -0.32279
3.40995 -0.32845
3.37235 -0.27609
3.44020 -0.38808
3.42763 -0.37843
3.40468 -0.34008
3.41184 -0.35026
3.41954 -0.33390
3.42078 -0.37404
3.44282 -0.37271
3.39297 -0.30511
3.42916 -0.37785
3.40338 -0.32467
3.42411 -0.35546
3.45426 -0.41795
3.37782 -0.29860
3.39048 -0.32093
3.46243 -0.41543
3.43044 -0.39428
3.43333 -0.39415
3.41468 -0.34158
3.41604 -0.34651
3.41580 -0.36435
3.39442 -0.33973
3.41949 -0.36203
3.39378 -0.31834
3.41632 -0.36848
3.43011 -0.38154
3.38804 -0.29741
3.41017 -0.34288
3.39362 -0.31978
3.44941 -0.40135
3.39012 -0.31406
3.37725 -0.27907
3.43119 -0.37191
3.42309 -0.35091
3.39101 -0.30820
3.45236 -0.40624
3.39303 -0.30910
3.41689 -0.37282
3.39804 -0.33974
3.39879 -0.32418
3.42643 -0.37896
3.37245 -0.28698
3.41218 -0.34967
3.40679 -0.33261
3.39566 -0.31357
3.40519 -0.32876
3.43316 -0.40613
3.41447 -0.33302
3.42513 -0.33527
3.39182 -0.31318
3.43544 -0.41447
3.40258 -0.33800
3.39361 -0.30749
3.41918 -0.36027
3.44319 -0.41074
3.42861 -0.38016
3.38750 -0.30093
3.38479 -0.30691
3.42972 -0.35985
3.47473 -0.44653
3.38699 -0.31127
3.40013 -0.32100
3.42313 -0.39069
3.40971 -0.34335
3.43770 -0.36815
3.39266 -0.32385
3.42587 -0.36602
3.39392 -0.34766
3.37954 -0.29849
3.41647 -0.33304
3.39105 -0.30906
3.39221 -0.33744
3.40770 -0.32510
3.39530 -0.30806
3.37409 -0.28874
3.39315 -0.32143
3.40867 -0.33579
3.42681 -0.37706
3.39923 -0.33764
3.39213 -0.29081
3.41391 -0.35647
3.40411 -0.32762
3.43713 -0.39660
3.41193 -0.33745
3.41802 -0.33900
3.42353 -0.35378
3.38783 -0.31328
3.37495 -0.31381
3.42937 -0.36763
3.40492 -0.35892
3.38795 -0.29876
3.42977 -0.38875
3.38673 -0.31422
3.36430 -0.25157
3.42434 -0.35348
3.38121 -0.29913
3.38805 -0.31045
3.40102 -0.34284
3.41990 -0.35192
3.41072 -0.34626
3.39000 -0.28335
3.44371 -0.38565
3.41680 -0.35314
3.43388 -0.41532
3.44777 -0.40130
3.39579 -0.33301
3.41854 -0.36465
3.40141 -0.30483
3.43700 -0.40264
3.40495 -0.33680
3.45280 -0.40845
3.39602 -0.31359
3.42520 -0.36096
3.41373 -0.34709
3.43005 -0.38462
3.38515 -0.29208
