# ra dec
3.40174 -0.34010
3.40903 -0.32763
3.39440 -0.32503
3.38869 -0.31412
3.41838 -0.35503
3.41860 -0.38086
3.44260 -0.40503
3.43151 -0.36848
3.42806 -0.36054
3.42794 -0.35094
3.43160 -0.38124
3.39379 -0.31809
3.38669 -0.34723
3.40995 -0.35861
3.40394 -0.36143
3.38862 -0.29751
3.43408 -0.37352
3.43945 -0.40265
3.42682 -0.34768
3.42512 -0.36547
3.40422 -0.32766
3.39662 -0.32123
3.42639 -0.37916
3.40813 -0.32961
3.39333 -0.32450
3.42799 -0.38551
3.44775 -0.41562
3.39948 -0.33044
3.43710 -0.38252
3.40599 -0.34705
3.42558 -0.37750
3.39042 -0.32460
3.42565 -0.34225
3.40463 -0.33346
3.40941 -0.36729
3.39098 -0.33535
3.40722 -0.32871
3.36956 -0.27290
3.44446 -0.41085
3.42070 -0.37799
3.40754 -0.34291
3.43068 -0.36550
3.40557 -0.32947
3.41224 -0.34040
3.39186 -0.31654
3.43442 -0.38702
3.37357 -0.28210
3.39977 -0.31183
3.47676 -0.45783
3.41510 -0.33947
3.42276 -0.36476
3.41783 -0.34087
3.39960 -0.33033
3.40230 -0.32420
3.42568 -0.37990
3.43466 -0.42080
3.44804 -0.38918
3.39902 -0.31051
3.43651 -0.37768
3.44061 -0.39057
3.41332 -0.38154
3.38737 -0.29169
3.39772 -0.34230
3.39630 -0.32840
3.33483 -0.19788
3.41097 -0.33593
3.40014 -0.33507
3.41428 -0.31225
3.38723 -0.30507
3.43289 -0.38792
3.42040 -0.35842
3.40988 -0.34919
3.45824 -0.44686
3.37573 -0.28447
3.42331 -0.39687
3.40408 -0.34348
3.41339 -0.34307
3.41967 -0.34351
3.40594 -0.34770
3.44270 -0.38940
3.41825 -0.34116
3.40558 -0.31474
3.41551 -0.37184
3.38619 -0.30616
3.40174 -0.34656
3.39246 -0.31752
3.40337 -0.34819
3.40537 -0.33599
3.39826 -0.34603
3.40747 -0.32362
3.41839 -0.36858
3.42769 -0.39014
3.40728 -0.32371
3.41762 -0.35057
3.38383 -0.32225
3.36069 -0.24506
3.39761 -0.32402
3.41307 -0.34800
3.43441 -0.38770
3.44016 -0.39071
3.46082 -0.43557
3.41557 -0.34520
3.40168 -0.33465
3.40209 -0.33776
3.41674 -0.32192
3.41902 -0.36922
3.45148 -0.40532
3.42353 -0.36841
3.40642 -0.34542
3.42225 -0.36553
3.41456 -0.33914
3.39410 -0.31868
3.39637 -0.32063
3.43626 -0.38712
3.42922 -0.37490
3.43637 -0.35915
3.42998 -0.37969
3.41262 -0.36150
3.38816 -0.31404
3.42432 -0.37248
3.40102 -0.33077
3.41042 -0.32784
3.40203 -0.34009
